iter	Passed	Remaining
0	154	154604
1	155	77555
2	155	51840
3	156	38971
4	157	31248
5	157	26098
6	158	22416
7	158	19656
8	159	17510
9	159	15792
10	160	14387
11	160	13216
12	161	12223
13	161	11373
14	161	10637
15	162	9991
16	162	9423
17	163	8918
18	163	8465
19	164	8062
20	165	7710
21	165	7375
22	166	7068
23	166	6787
24	167	6529
25	167	6290
26	168	6068
27	168	5863
28	169	5671
29	169	5492
30	170	5325
31	170	5169
32	171	5022
33	171	4883
34	172	4752
35	172	4629
36	173	4512
37	173	4401
38	174	4296
39	174	4196
40	175	4101
41	175	4010
42	176	3924
43	176	3841
44	177	3763
45	177	3687
46	178	3617
47	178	3548
48	179	3482
49	179	3419
50	180	3357
51	180	3298
52	181	3242
53	181	3187
54	182	3134
55	182	3084
56	183	3035
57	183	2987
58	184	2942
59	184	2897
60	185	2855
61	186	2814
62	186	2774
63	187	2734
64	187	2697
65	188	2660
66	188	2624
67	188	2587
68	189	2553
69	189	2521
70	190	2489
71	190	2458
72	191	2428
73	191	2399
74	192	2370
75	192	2344
76	193	2318
77	193	2292
78	194	2268
79	195	2243
80	195	2220
81	196	2197
82	196	2175
83	197	2154
84	198	2131
85	198	2110
86	198	2087
87	199	2067
88	200	2047
89	200	2028
90	201	2010
91	201	1991
92	202	1972
93	202	1954
94	203	1936
95	203	1918
96	204	1901
97	204	1884
98	205	1868
99	205	1853
100	206	1838
101	206	1821
102	207	1806
103	207	1791
104	208	1777
105	209	1763
106	209	1749
107	210	1736
108	210	1723
109	211	1709
110	211	1696
111	212	1683
112	212	1671
113	213	1658
114	213	1646
115	214	1633
116	214	1622
117	215	1610
118	215	1598
119	216	1587
120	217	1577
121	217	1566
122	217	1553
123	218	1543
124	219	1533
125	219	1523
126	220	1513
127	220	1503
128	221	1493
129	221	1484
130	222	1475
131	222	1466
132	223	1456
133	224	1448
134	224	1439
135	225	1430
136	225	1422
137	226	1413
138	226	1405
139	227	1397
140	227	1388
141	228	1380
142	229	1372
143	229	1364
144	230	1357
145	230	1349
146	231	1342
147	231	1334
148	232	1327
149	232	1320
150	233	1313
151	234	1306
152	234	1299
153	235	1292
154	235	1285
155	236	1278
156	236	1271
157	237	1265
158	238	1258
159	238	1252
160	239	1246
161	239	1239
162	240	1233
163	240	1227
164	241	1221
165	242	1215
166	242	1209
167	243	1203
168	243	1198
169	244	1192
170	244	1186
171	245	1181
172	245	1175
173	246	1169
174	246	1164
175	247	1159
176	248	1156
177	249	1151
178	250	1146
179	250	1141
180	250	1135
181	251	1130
182	252	1125
183	252	1120
184	253	1115
185	253	1110
186	254	1105
187	254	1101
188	255	1096
189	256	1091
190	256	1087
191	257	1082
192	257	1077
193	258	1073
194	258	1068
195	259	1064
196	260	1060
197	260	1056
198	261	1052
199	262	1049
200	263	1045
201	263	1041
202	264	1037
203	276	1079
204	277	1074
205	277	1070
206	278	1065
207	278	1061
208	279	1056
209	279	1052
210	280	1047
211	280	1043
212	281	1038
213	281	1034
214	282	1030
215	282	1026
216	283	1021
217	283	1017
218	284	1013
219	284	1009
220	285	1005
221	285	1000
222	286	996
223	286	992
224	287	988
225	287	984
226	288	980
227	288	977
228	289	973
229	289	969
230	290	965
231	290	961
232	291	958
233	291	954
234	292	950
235	292	947
236	293	943
237	293	939
238	294	936
239	294	932
240	294	929
241	295	925
242	295	922
243	296	918
244	296	915
245	297	911
246	297	908
247	298	905
248	298	901
249	299	898
250	299	895
251	300	891
252	300	888
253	301	885
254	302	882
255	302	879
256	303	878
257	304	875
258	305	873
259	306	871
260	306	868
261	307	865
262	307	862
263	308	860
264	309	857
